fixture_occurrence_id,qac_word_ref,surah,ayah,word_index,root,derived_form_group,source_id,field_role,semantic_evidence_allowed
qac_slm_2_233_53,2:233:53,2,233,53,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_4_65_18,4:65:18,4,65,18,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_8_43_16,8:43:16,8,43,16,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_24_27_11,24:27:11,24,27,11,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_24_61_61,24:61:61,24,61,61,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_33_56_12,33:56:12,33,56,12,س ل م,FORM_II_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_2_112_3,2:112:3,2,112,3,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_2_131_5,2:131:5,2,131,5,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_2_131_7,2:131:7,2,131,7,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_3_20_4,3:20:4,3,20,4,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_3_20_14,3:20:14,3,20,14,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_3_20_16,3:20:16,3,20,16,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_3_83_6,3:83:6,3,83,6,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_4_125_5,4:125:5,4,125,5,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_5_44_11,5:44:11,5,44,11,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_6_14_20,6:14:20,6,14,20,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
qac_slm_6_71_37,6:71:37,6,71,37,س ل م,FORM_IV_VERB,QAC_MORPHOLOGY_WEB_V0_4_FIXTURE,STRUCTURAL_FIXTURE_ONLY,false
